ID,Tour_Name,Duration_Days,Location,Category,Adult_Price_USD,Child_Price_USD,Featured_Image_URL,Description,Highlights,Included_Items,Excluded_Items,Requirements,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8
1,2 Days Kenya Safari,2,"Nairobi, Lake Nakuru",Safari,1800,1350,,Short safari from Nairobi to the flamingo-filled Lake Nakuru.,Flamingos; Rhinos; Great Rift Valley viewpoints,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Hat; Sunscreen,Pick up from Nairobi hotel; drive to Lake Nakuru; afternoon game drive; overnight at lodge.,Morning game drive in Lake Nakuru National Park; depart for Nairobi dropping off in the afternoon.,,,,,,
2,2 Days Kenya Safari,2,"Nairobi, Amboseli",Safari,2100,1575,,Overnight safari to see the elephants under Mt Kilimanjaro.,Mt Kilimanjaro views; Large Elephant Herds,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Hat; Sunscreen,Depart Nairobi early morning; drive to Amboseli; afternoon game drive; dinner and overnight.,Early morning game drive for Mt Kilimanjaro views; breakfast; drive back to Nairobi.,,,,,,
3,3 Days Kenya Safari,3,"Nairobi, Masai Mara",Safari,3000,2250,,Classic 3-day safari to Kenya's most famous reserve.,Big Five; Wildebeest Migration (seasonal); Mara River,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items; Maasai Village Visit,Camera; Binoculars,Depart Nairobi; drive down the Rift Valley to Masai Mara; afternoon game drive.,Full day game viewing in Masai Mara with picnic lunch; visit Mara River.,Morning game drive; breakfast; depart for Nairobi arriving late afternoon.,,,,,
4,3 Days Kenya Safari,3,"Nairobi, Masai Mara",Safari,,0,,Extended stay in Amboseli for better wildlife viewing.,Observation Hill; Swamps; Elephants; Mt Kilimanjaro,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Binoculars,Depart Nairobi; drive to Amboseli National Park; lunch; afternoon game drive.,Full day game drive in Amboseli; majestic views of Kilimanjaro; visit observation hill.,Pre-breakfast game drive; breakfast; depart for Nairobi.,,,,,
5,4 Days Kenya Safari ,4,"Nairobi, Lake Nakuru, Amboseli",Safari,,0,,Combine the birdlife of Nakuru with the big cats of the Mara.,Flamingos; Rhinos; Lions; Leopards; Rift Valley,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Binoculars,Depart Nairobi for Lake Nakuru; afternoon game drive; overnight in Nakuru.,Morning game drive in Nakuru; drive to Masai Mara; afternoon game drive.,Full day game viewing in Masai Mara National Reserve with picnic lunch.,Early morning game drive; breakfast; return to Nairobi.,,,,
6,5 Days Kenya Safari,5,"Nairobi, Amboseli, Lake Nakuru, Masai Mara",Safari,,0,,Comprehensive tour of three premium parks.,Amboseli Elephants; Nakuru Rhinos; Mara Big Cats,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Binoculars,Depart Nairobi for Amboseli; afternoon game drive.,Morning game drive in Amboseli; depart for Lake Nakuru; overnight Nakuru.,Morning game drive in Nakuru; drive to Masai Mara; afternoon game drive.,Full day game viewing in Masai Mara; optional balloon safari.,Early morning game drive; depart for Nairobi.,,,
7,5 Days Kenya Safari,5,"Nairobi, Samburu, Sweetwaters, Ol Pejeta,",Safari,,0,,Deep stay into the olpejeta conservancy,Samburu Special 5; Chimpanzees; Rhinos; Boat Ride,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Binoculars,"Leave Nairobi in the morning and drive North past Kenya's Central Highlands, Moun Kenya and the dramatic semi-arid scrubland of the Northern Frontier to Samburu National Reserve arriving in time for lunch. Afternoon game drive in Samburu to see the rare resident wildlife species like the Reticulated Giraffe, Grevy's Zebra, Beisa Oryx and the Blue-necked Somali Ostrich that are not seen elsewhere in the country. Dinner and overnight.",After breakfast enjoy and deeply explore the Samburu secrets and uniqueness in two game drives. The unique Samburu terrain and residents are sights you don't want to let go therefore we shall have enough of these in a morning and afternoon Game drive. Dinner and over night at your Samburu safari lodge/camp.,,,,,,
8,6 Days Kenya Safari,6,"Nairobi, Samburu, Sweetwaters, Ol Pejeta, Lake Nakuru, Lake Naivasha",Safari,,0,,"Explore the arid north, chimps, and Rift Valley lakes.",Samburu Special 5; Chimpanzees; Rhinos; Boat Ride,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Hat; Sunscreen,Drive to Samburu National Reserve; afternoon game drive.,Full day game drives in Samburu exploring the river banks.,Depart for Ol Pejeta Conservancy; visit Chimpanzee Sanctuary and Rhinos.,Drive to Lake Nakuru; afternoon game drive.,Morning drive in Nakuru; drive to Lake Naivasha; boat ride; overnight Naivasha.,Breakfast; drive back to Nairobi.,,
9,"7 Days Kenya Safari - Aberdares, Samburu, Lake Nakuru and Masai Mara",7,Full Circuit,Safari,,0,,"A week-long adventure covering highlands, north, lakes, and savannah.",The Ark/Treetops; Samburu Wildlife; Rift Valley; Big Five,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry; Personal Items,Camera; Binoculars,Depart Nairobi for Aberdare National Park; overnight at a tree lodge.,Drive north to Samburu National Reserve; afternoon game drive.,Full day game viewing in Samburu Reserve.,Depart for Lake Nakuru; afternoon game drive for rhinos and birds.,Drive to Masai Mara; check-in and afternoon game drive.,Full day exploring Masai Mara; picnic lunch in the reserve.,Morning game drive; drive back to Nairobi.,
10,1 Day Wasini Dolphin Dhow - Charlie Claw,1,Wasini Island,Excursion,,0,,Full day coastal dhow trip with seafood lunch.,Dolphins; Snorkeling; Seafood Lunch; Kisite Mpunguti,Transfers; Dhow; Park Fees; Lunch; Snorkel Gear,Tips; Drinks,Swimwear; Towel; Sunscreen,Pick up from hotel; drive to Shimoni; dhow sailing; snorkeling; seafood lunch; return.,,,,,,,
11,1 Day Pili Pipa Dolphin Dhow,1,Wasini Island,Excursion,,0,,Premium dhow experience to Kisite Marine Park.,Coral Reefs; Dolphins; Swahili Seafood,Transfers; Dhow; Park Fees; Lunch; Snorkel Gear,Tips; Drinks,Swimwear; Towel; Sunscreen,Pick up from hotel; drive to Shimoni; sail to Kisite; snorkel; lunch on island; return.,,,,,,,
12,1 Days Tsavo East Safari,1,Tsavo East,Safari,,0,,Day trip to the home of the Red Elephants.,Red Elephants; Aruba Dam; Big Spaces,Transport; Park Fees; Guide; Water; Lunch,Tips; Drinks; Personal Items,Camera; Hat,Early pick up; enter Tsavo East; game drive; lunch at lodge; afternoon game drive; return to coast.,,,,,,,
13,1 Day Shimba Hills Safari,1,Shimba Hills,Safari,,0,,Visit the coastal rainforest and Sheldrick Falls.,Sable Antelope; Sheldrick Falls; Forest,Transport; Park Fees; Guide; Water; Lunch,Tips; Drinks; Personal Items,Walking shoes; Camera,Pick up; drive to Shimba Hills; game drive; walk to Sheldrick Falls; lunch; return.,,,,,,,
14,2 Days Shimba Hills Safari,2,Shimba Hills,Safari,,0,,Overnight stay in the coastal rainforest reserve.,Sable Antelope; Night sounds; Rainforest,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Walking shoes; Insect Repellent,Pick up; drive to Shimba Hills; game drive and hike; overnight at lodge.,Morning game drive; lunch; return to Mombasa/Diani.,,,,,,
15,2 Days Safari in Kenya - Tsavo East,2,Tsavo East,Safari,,0,,Short overnight safari from the coast.,Red Elephants; Lions; Yatta Plateau,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera,Pick up from coast; drive to Tsavo East; lunch; afternoon game drive; overnight.,Early morning game drive; breakfast; game drive en route back to coast.,,,,,,
16,2 Days Tsavo East and Tsavo West Kenya Safari,2,Tsavo East & West,Safari,,0,,Sample both sides of the Tsavo ecosystem.,Red Elephants; Mzima Springs; Lava Flows,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera,Pick up; drive to Tsavo East; game drive; afternoon transfer to Tsavo West; overnight.,Visit Mzima Springs; game drive in Tsavo West; return to coast.,,,,,,
17,2 Days Tsavo East and Salt Lick Safari,2,Tsavo East & Salt Lick,Safari,,0,,Famous for the stilt lodge overlooking a waterhole.,Salt Lick Lodge; Waterhole wildlife; Tsavo Plains,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera,Pick up; drive to Tsavo East; game drive; transfer to Taita Hills Salt Lick; overnight.,Morning game drive in sanctuary; breakfast; return to coast.,,,,,,
18,3 Days Kenya Safari - Mombasa to Tsavo East and West,3,Tsavo East & West,Safari,,0,,Deep exploration of the Tsavo National Parks.,Mzima Springs; Shetani Lava; Mudanda Rock,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera; Binoculars,Pick up; drive to Tsavo East; afternoon game drive; overnight.,Morning drive Tsavo East; cross to Tsavo West; visit Mzima Springs; overnight.,Morning game drive Tsavo West; depart for coast.,,,,,
19,3 Days Safari in Kenya - Tsavo West and Amboseli,3,Tsavo West & Amboseli,Safari,,0,,From the springs of Tsavo to the mountain views of Amboseli.,Kilimanjaro; Mzima Springs; Chyulu Hills,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera,Pick up; drive to Tsavo West; Mzima Springs visit; overnight Tsavo West.,Drive to Amboseli National Park; afternoon game drive with Kili views.,Morning game drive Amboseli; return to Mombasa.,,,,,
20,3 Days Safari to Amboseli,3,Amboseli,Safari,,0,,Direct safari from coast to the foot of Kilimanjaro.,Elephant Herds; Kilimanjaro; Maasai Culture,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera,Early pick up; drive to Amboseli (long drive); evening game drive.,Full day game viewing in Amboseli National Park.,Morning game drive; return to Mombasa.,,,,,
21,"4 Days Kenya Safari to Tsavo East, Tsavo West and Amboseli",4,Southern Circuit,Safari,,0,,The complete southern circuit safari.,All 3 major southern parks; Diverse landscapes,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera,Pick up; drive to Tsavo East; game drive; overnight Tsavo East.,Drive to Tsavo West; Mzima springs; overnight Tsavo West.,Drive to Amboseli; afternoon game drive; overnight Amboseli.,Morning game drive; return to Mombasa.,,,,
22,"5 Days Safari in Kenya - Mombasa to Tsavo East, Amboseli, Tsavo West & Taita Hills",5,Southern Circuit,Safari,,0,,Extensive tour of all southern Kenya wildlife areas.,Salt Lick; Mzima Springs; Kili Views; Red Elephants,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera,Mombasa to Tsavo East; game drive; overnight.,Tsavo East to Amboseli; afternoon game drive.,Amboseli full day or morning drive; transfer to Tsavo West.,Tsavo West to Taita Hills Salt Lick; game viewing from lodge.,Morning game drive; return to Mombasa.,,,
23,3 Days Safari in Kenya from Nairobi to Amboseli ending in Mombasa,3,Nairobi to Mombasa,Safari,,0,,One-way safari connecting the capital to the coast via Amboseli.,SGR connection option; Kilimanjaro; Coast arrival,Transport; Park Fees; Guide; Water; Full Board Accommodation,Tips; Drinks; Laundry,Camera; Travel Bag,Depart Nairobi; drive to Amboseli; afternoon game drive.,Full day in Amboseli National Park.,Morning game drive; drive to Mombasa (or Voi for train); drop off at coast hotel.,,,,,
