id,name,type,category,park_location_id,rooms,price_per_night_standard,amenities
1,"Angama Mara","Lodge","Luxury",1,30,880,""
2,"Enkorok Mara Camp","Camp","Budget",1,20,150,""
3,"Basecamp Masai Mara","Camp","Standard",1,17,250,""
4,"Mara Sopa Lodge","Lodge","Standard",1,99,185,""
5,"Sarova Mara Game Camp","Camp","Luxury",1,75,350,""
6,"Mara Serena Safari Lodge","Lodge","Luxury",1,75,410,""
7,"Mara Intrepids","Camp","Luxury",1,30,499,""
8,"Fairmont Mara Safari Club","Camp","Luxury",1,51,1022,""
9,"Fig Tree Camp","Camp","Standard",1,80,163,""
10,"Keekorok Lodge","Lodge","Standard",1,101,241,""
11,"AA Amboseli Lodge","Lodge","Budget",2,60,199,"['Pool', 'Kilimanjaro View', 'Ensuite']"
12,"Kibo Safari Camp","Camp","Standard",2,73,220,""
13,"Amboseli Serena","Lodge","Luxury",2,92,320,""
14,"Amboseli Sopa","Lodge","Standard",2,83,185,""
15,"Kilima Safari Camp","Camp","Standard",2,72,210,""
16,"Sentrim Amboseli","Lodge","Standard",2,60,180,""
17,"Elewana Tortilis Camp","Camp","Luxury",2,16,550,""
18,"Fairmont Mt. Kenya Club","Lodge","Luxury",7,120,450,"['Golf', '100-acre Gardens', 'Heated Pool']"
19,"Naro Moru River Resort","Hotel","Standard",7,50,150,""
20,"Shipton's Camp","Hut","Budget",7,10,50,""
21,"Sirimon Bandas","Bandas","Budget",7,5,40,""
22,"Hemingways Nairobi","Hotel","Luxury",5,45,600,""
23,"Giraffe Manor","Hotel","Luxury",5,12,1000,""
24,"Nairobi Tented Camp","Camp","Standard",5,9,250,"['Inside Park', 'Eco-Luxury', 'Ensuite']"
25,"Villa Rosa Kempinski","Hotel","Luxury",5,200,350,""
26,"Ziwa Bush Lodge","Lodge","Budget",16,12,75,""
27,"Lake Nakuru Lodge","Lodge","Standard",16,95,130,""
28,"Sarova Lion Hill","Lodge","Luxury",16,67,299,""
29,"Punda Milias Camp","Camp","Budget",16,15,60,""
30,"Kilaguni Serena","Lodge","Luxury",15,56,280,""
31,"Severin Safari Camp","Camp","Standard",15,27,220,""
32,"Voyager Ziwani","Camp","Standard",15,25,180,""
33,"Finch Hattons","Camp","Luxury",15,17,950,""
34,"Ashnil Aruba Lodge","Lodge","Standard",14,40,210,""
35,"Satao Camp","Camp","Standard",14,20,240,""
36,"Elephant Bedroom","Camp","Luxury",17,12,450,""
37,"Samburu Sopa Lodge","Lodge","Standard",17,60,140,""
38,"Sarova Shaba","Lodge","Standard",17,80,230,""
39,"Ol Pejeta House","Lodge","Luxury",18,4,650,""
40,"Pelican House","Lodge","Budget",18,1,150,""
41,"Porini Rhino Camp","Camp","Standard",18,7,320,""
42,"The Ark","Lodge","Standard",19,60,190,""
43,"Treetops Lodge","Lodge","Standard",19,36,180,""
44,"Meru Guest House","Hotel","Budget",20,1,100,""
45,"Ikweta Safari Camp","Camp","Standard",20,10,215,""
46,"Rhino River Camp","Camp","Standard",20,7,280,""
47,"Hemingways Watamu","Hotel","Luxury",3,39,450,""
48,"Medina Palms","Hotel","Luxury",3,50,600,""
49,"Turtle Bay Beach","Club","Standard",3,145,200,""
50,"Ocean Sports Resort","Hotel","Standard",3,30,180,""
51,"Kisite Bandas","Bandas","Budget",4,7,50,""
52,"Ruma River Lodge","Lodge","Standard",27,20,137,""
53,"Oribi Guest House","Hotel","Budget",27,1,100,""
54,"Victoria Sands","Lodge","Budget",27,10,70,""
55,"Marsabit Lodge","Lodge","Standard",29,24,110,""
56,"Jirime Hotel","Hotel","Standard",29,20,54,""
57,"Oasis Lodge","Lodge","Budget",28,12,80,""
58,"Napak Resort","Camp","Budget",28,1,75,"['Campsite', '1 bedroom', '2 guests']"
59,"Shimba Hills Lodge","Lodge","Standard",25,30,160,""
60,"Sawela Lodge","Lodge","Budget",9,90,120,"['Lakefront', 'Pool', 'Large Grounds']"
61,"Naivasha Sopa","Lodge","Standard",9,84,185,""
62,"Salt Lick Safari Lodge","Lodge","Luxury",26,96,350,"['Waterhole View', 'Tunnel', 'Museum']"
63,"Taita Hills Safari Resort","Resort","Standard",26,60,300,"['Pool', 'Museum', 'Conference']"
64,"Sweetwaters Serena Camp","Camp","Luxury",18,56,300,"['Waterhole', 'Pool', 'Chimp Sanctuary View']"
65,"Soi Safari Lodge","Lodge","Standard",30,86,250,"['Lake View', 'Pool', 'Conference']"
66,"Lake Bogoria Spa Resort","Resort","Standard",31,115,275,"['Hot Springs Pool', 'Spa', 'Cottages']"
